Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584741852.42, ò434, 458, 484, 424, -15872, -1124, 2776, -376, -367, -98
1584741852.49, 434, 458, 483, 424, -15772, -1032, 2600, -375, -370, -87
1584741852.55, 434, 458, 484, 424, -15784, -1032, 2800, -373, -353, -83
1584741852.62, 434, 458, 484, 424, -15804, -1024, 2748, -374, -388, -94
1584741852.69, 434, 458, 483, 424, -15820, -1104, 2792, -376, -367, -78
1584741852.72, 434, 458, 484, 424, -15756, -1008, 2808, -386, -352, -86
1584741852.79, 434, 458, 483, 424, -15776, -976, 2764, -374, -369, -75
1584741852.85, 434, 458, 483, 424, -15832, -964, 2732, -365, -348, -97
1584741852.92, 434, 458, 484, 424, -15744, -1068, 2904, -388, -379, -86
1584741852.99, 434, 458, 483, 424, -15788, -1032, 2816, -364, -360, -87
1584741853.02, 434, 458, 483, 424, -15772, -1032, 2860, -392, -363, -86
1584741853.09, 434, 458, 484, 424, -15840, -1036, 2776, -381, -393, -78
1584741853.15, 434, 458, 484, 424, -15820, -1028, 2904, -368, -363, -84
1584741853.22, 434, 458, 484, 424, -15844, -1016, 2732, -369, -360, -104
1584741853.29, 434, 458, 484, 424, -15784, -968, 3004, -366, -335, -83
1584741853.32, 434, 458, 484, 424, -15664, -1100, 2812, -396, -362, -76
1584741853.39, 434, 458, 484, 424, -15748, -1084, 2688, -380, -387, -91
1584741853.45, 434, 458, 483, 424, -15880, -996, 2696, -368, -352, -76
1584741853.52, 434, 458, 483, 424, -15832, -1024, 2796, -369, -366, -94
1584741853.59, 434, 458, 484, 424, -15780, -960, 2688, -370, -374, -83
1584741853.62, 434, 458, 484, 424, -15788, -1044, 2812, -376, -355, -103
1584741853.69, 434, 458, 483, 424, -15768, -968, 2812, -381, -395, -90
1584741853.75, 434, 458, 484, 424, -15828, -1016, 2880, -384, -356, -84
1584741853.82, 434, 458, 483, 424, -15784, -1172, 2932, -376, -375, -85
1584741853.89, 434, 458, 484, 424, -15780, -920, 2816, -377, -388, -83
1584741853.92, 434, 458, 484, 424, -15848, -916, 2776, -366, -347, -89
1584741853.99, 434, 458, 483, 424, -15760, -1012, 2776, -380, -364, -96
